요양기관명,소재지,요양종별,X좌표,Y좌표
서울삼성내과의원,"서울특별시 강동구 고덕로 133, 512호 (암사동, 강동롯데캐슬퍼스트아파트 상가동)",의원,968236.0,1950717.0
서울삼성내과의원,"서울특별시 노원구 동일로 1547, 3층 (상계동, 시몬빌딩)",의원,960923.0,1963097.0
서울삼성내과의원,"서울특별시 영등포구 도림로 135, 7층 701호 (대림동)",의원,946687.0,1943945.0
서울삼성내과의원,"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 4층 (답십리동)",의원,960694.0,1952970.0
서울삼성소아청소년과의원,"서울특별시 금천구 시흥대로 399, 시티렉스 4층 409,414호 (독산동)",의원,946686.0,1941301.0
서울삼성수가정의학과의원,"서울특별시 중랑구 신내로 45, 401호 (신내동)",의원,964301.0,1956047.0
서울삼성의원,"서울특별시 송파구 가락로 214, 2층 201호 (송파동, 창우빌딩)",의원,966118.0,1945404.0
서울삼성정형외과의원,"서울특별시 광진구 면목로 128, 2층 (중곡동)",의원,962986.0,1951800.0
서울삼육오의원,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-1호 (영등포동8가)",의원,947441.0,1947671.0
서울성모내과의원,서울특별시 은평구 연서로 146 (대조동),의원,948609.0,1957092.0
서울성모내과의원,"서울특별시 서대문구 연희로 85, 3층 (연희동, 인사이드빌딩)",의원,949656.0,1951998.0
서울성모비앤피(BNP)의원,"서울특별시 서초구 언남1길 3, 2층 (양재동)",의원,959387.0,1941535.0
서울성모의원,서울특별시 광진구 아차산로 220 (자양동),의원,961807.0,1949122.0
서울성모의원,"서울특별시 성북구 돌곶이로 59, 3층 (석관동)",의원,961046.0,1956703.0
서울성모의원,"서울특별시 중구 마장로9길 34, 2층 (황학동)",의원,957589.0,1952391.0
서울성모이비인후과의원,"서울특별시 동작구 동작대로29길 18, 2층 (사당동)",의원,954117.0,1943339.0
서울성모이비인후과의원,"서울특별시 동대문구 전농로 102 (답십리동, 목련빌딩 101호)",의원,960956.0,1952823.0
서울성모이비인후과의원,"서울특별시 관악구 남부순환로 1733, 3층 301, 304호 (봉천동)",의원,950734.0,1942737.0
서울성모정형외과의원,"서울특별시 노원구 한글비석로 471, (주)맥스아웃 상계빌딩 5층 (상계동)",의원,961670.0,1962820.0
서울성모정형외과의원,"서울특별시 동대문구 한천로 193, 동서울농협 장안동지점 4층 (장안동)",의원,961845.0,1953287.0
서울성모정형외과의원,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 5층 (잠원동)",의원,956740.0,1946061.0
서울센트럴메디케어의원,"서울특별시 강서구 마곡중앙8로5길 11, 마곡파인스퀘어Ⅲ 3층 301~315호 (마곡동)",의원,941454.0,1951601.0
서울센트럴이비인후과의원,"서울특별시 중구 세종대로 11, 2,3층 6-23,24호 (남대문로5가)",의원,953459.0,1951102.0
서울소아과의원,"서울특별시 양천구 신정로7길 60-5 (신정동, 동일프라자)",의원,941508.0,1946135.0
서울소아청소년과의원,"서울특별시 강동구 명일로 172 (둔촌동, 둔촌푸르지오아파트)",의원,968773.0,1948365.0
서울소아청소년과의원,"서울특별시 서초구 헌릉로8길 9-8, 404호 (내곡동, 내곡플라자)",의원,961083.0,1939811.0
서울소아청소년과의원,서울특별시 강서구 양천로69길 11 (염창동),의원,944388.0,1950606.0
서울손인내과의원,"서울특별시 동작구 사당로 224, 3층 (사당동)",의원,953368.0,1942848.0
서울수내과의원,"서울특별시 송파구 송파대로 389 (석촌동, 2층)",의원,965487.0,1944829.0
서울수소아청소년과의원,"서울특별시 강동구 구천면로 424 (명일동, 명일메가타운)",의원,968695.0,1950170.0
서울수이비인후과의원,"서울특별시 동대문구 왕산로 171, 4층 (제기동)",의원,959560.0,1953448.0
서울숲내과의원,"서울특별시 성동구 왕십리로 50, 지하1층 (성수동1가)",의원,959796.0,1949270.0
서울숲정의원,"서울특별시 성동구 고산자로2길 67, 서울숲리버뷰자이 상가1동 1202호, 1203일부호 (행당동)",의원,959196.0,1950871.0
