"시점",기온 (℃),기온 (℃),기온 (℃),기온 (℃),기온 (℃),강수량 (mm),상대습도 (%),상대습도 (%),평균운량 (10%),일조시간 (hr),바람 (m/s),바람 (m/s),바람 (m/s)
"시점",평균,평균최고,극점최고,평균최저,극점최저,소계,평균,최소,소계,소계,평균풍속,최대풍속,최대순간풍속
"1999. 11",7.9,12.6,18.6,3.8,-6.1,19.5,65.0,25.0,3.6,183.5,1.3,8.7,13.9
"1999. 12",0.4,4.4,12.0,-3.4,-11.5,17.0,63.0,26.0,3.0,164.6,1.2,9.7,16.2
"2000. 01",-2.1,1.7,9.9,-5.7,-12.1,42.8,64.0,28.0,4.2,108.3,2.6,7.6,12.3
"2000. 02",-1.7,2.6,7.5,-5.8,-11.6,2.1,56.0,27.0,3.2,139.3,2.7,10.6,19.1
"2000. 03",6.3,11.4,18.9,1.7,-4.8,3.1,55.0,23.0,3.9,152.8,3.0,12.2,19.9
"2000. 04",11.9,16.9,23.5,7.3,1.8,30.7,56.0,26.0,5.0,156.6,2.9,9.5,18.8
"2000. 05",17.5,22.7,30.5,12.9,7.9,75.2,66.0,26.0,6.0,138.3,2.3,8.3,13.6
"2000. 06",23.7,29.2,33.9,19.1,14.6,68.1,65.0,21.0,6.0,133.0,1.9,6.6,10.6
"2000. 07",26.8,31.0,34.2,23.1,19.9,114.7,73.0,29.0,6.8,108.2,2.1,9.5,15.0
"2000. 08",26.2,30.0,35.1,22.9,19.0,599.4,79.0,26.0,6.6,112.8,1.7,9.2,21.5
"2000. 09",20.7,24.8,31.0,17.1,11.9,178.5,71.0,32.0,6.0,116.4,1.7,12.5,22.4
"2000. 10",14.9,19.2,26.5,10.7,3.5,18.1,64.0,23.0,4.7,131.3,1.5,6.6,12.9
"2000. 11",7.0,11.1,20.3,2.7,-3.8,27.1,57.0,17.0,4.3,102.6,1.8,6.3,12.1
"2000. 12",0.9,4.9,11.9,-2.9,-11.4,27.0,58.0,22.0,4.0,106.6,2.2,8.1,13.8
"2001. 01",-4.2,-0.8,6.8,-7.8,-18.6,39.4,62.6,36.0,4.0,97.0,2.2,6.6,13.5
"2001. 02",-0.3,3.7,12.2,-3.7,-10.4,45.7,61.0,15.0,4.0,117.0,2.1,6.3,11.9
"2001. 03",5.0,9.6,21.0,0.9,-6.1,18.1,61.2,9.0,4.0,151.0,2.8,8.9,17.6
"2001. 04",13.6,19.2,28.2,8.7,2.1,12.3,59.3,11.0,4.0,177.8,2.5,8.0,15.0
